entity,coupled,degree,average-revs
xwork-core/src/test/java/com/opensymphony/xwork2/validator/AnnotationValidationAction.java,xwork-core/src/test/java/com/opensymphony/xwork2/validator/AnnotationValidationExpAction.java,100,16
core/src/main/resources/template/ajax/autocompleter.ftl,core/src/test/resources/org/apache/struts2/views/jsp/ui/Autocompleter-1.txt,100,10
apps/mailreader/src/main/webapp/Registration.jsp,apps/mailreader/src/main/webapp/Subscription.jsp,100,9
core/src/main/resources/template/simple/actionerror.ftl,core/src/main/resources/template/simple/actionmessage.ftl,100,8
core/src/main/java/org/apache/struts2/util/URLDecoderUtil.java,core/src/test/java/org/apache/struts2/util/URLDecoderUtilTest.java,100,8
core/src/test/resources/com/opensymphony/xwork2/config/providers/xwork-test-allowstatic-devmode-false.xml,core/src/test/resources/com/opensymphony/xwork2/config/providers/xwork-test-allowstatic-true.xml,100,6
core/src/test/resources/com/opensymphony/xwork2/config/providers/xwork-test-allowstatic-devmode-true.xml,core/src/test/resources/com/opensymphony/xwork2/config/providers/xwork-test-allowstatic-true.xml,100,6
.mvn/wrapper/maven-wrapper.properties,mvnw.cmd,100,6
.mvn/wrapper/MavenWrapperDownloader.java,mvnw.cmd,100,6
core/src/test/resources/com/opensymphony/xwork2/config/providers/xwork-test-allowstatic-devmode-false.xml,core/src/test/resources/com/opensymphony/xwork2/config/providers/xwork-test-allowstatic-devmode-true.xml,100,6
.mvn/wrapper/MavenWrapperDownloader.java,mvnw,100,6
core/src/test/resources/org/apache/struts2/views/jsp/ui/tooltip-1.txt,core/src/test/resources/org/apache/struts2/views/jsp/ui/tooltip-3.txt,100,6
core/src/test/resources/org/apache/struts2/views/jsp/ui/tooltip-1.txt,core/src/test/resources/org/apache/struts2/views/jsp/ui/tooltip-2.txt,100,6
core/src/test/resources/com/opensymphony/xwork2/config/providers/xwork-test-allowstatic-true.xml,core/src/test/resources/com/opensymphony/xwork2/config/providers/xwork-test-devmode-true.xml,100,6
core/src/test/resources/com/opensymphony/xwork2/config/providers/xwork-test-allowstatic-devmode-true.xml,core/src/test/resources/com/opensymphony/xwork2/config/providers/xwork-test-devmode-true.xml,100,6
apps/rest-showcase/src/main/webapp/WEB-INF/content/orders-index.jsp,apps/rest-showcase/src/main/webapp/WEB-INF/content/orders-show.jsp,100,6
.mvn/wrapper/MavenWrapperDownloader.java,.mvn/wrapper/maven-wrapper.properties,100,6
core/src/test/resources/org/apache/struts2/views/jsp/ui/tooltip-2.txt,core/src/test/resources/org/apache/struts2/views/jsp/ui/tooltip-3.txt,100,6
.mvn/wrapper/maven-wrapper.properties,mvnw,100,6
mvnw,mvnw.cmd,100,6
core/src/test/resources/com/opensymphony/xwork2/config/providers/xwork-test-allowstatic-devmode-false.xml,core/src/test/resources/com/opensymphony/xwork2/config/providers/xwork-test-devmode-true.xml,100,6
xwork-core/src/main/java/com/opensymphony/xwork2/util/logging/Logger.java,xwork-core/src/main/java/com/opensymphony/xwork2/util/logging/commons/CommonsLogger.java,100,5
plugins/dojo/src/main/resources/template/ajax/ajax-common.ftl,plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/AnchorTest.java,100,5
apps/rest-showcase/src/main/webapp/WEB-INF/content/orders-deleteConfirm.jsp,apps/rest-showcase/src/main/webapp/WEB-INF/content/orders-edit.jsp,100,5
apps/rest-showcase/src/main/webapp/WEB-INF/content/orders-edit.jsp,apps/rest-showcase/src/main/webapp/WEB-INF/content/orders-editNew.jsp,100,5
plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/BindTest.java,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/Bind-1.txt,100,5
xwork-core/src/main/java/com/opensymphony/xwork2/util/logging/commons/CommonsLogger.java,xwork-core/src/main/java/com/opensymphony/xwork2/util/logging/jdk/JdkLogger.java,100,5
apps/rest-showcase/src/main/webapp/WEB-INF/content/orders-deleteConfirm.jsp,apps/rest-showcase/src/main/webapp/WEB-INF/content/orders-editNew.jsp,100,5
plugins/dojo/src/main/resources/template/ajax/ajax-common.ftl,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/href-1.txt,100,5
apps/mailreader/src/main/webapp/pages/registration.jsp,apps/mailreader/src/main/webapp/pages/subscription.jsp,100,5
plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/AnchorTest.java,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/href-1.txt,100,5
core/src/main/java/org/apache/struts2/util/tomcat/buf/StringCache.java,core/src/main/java/org/apache/struts2/util/tomcat/buf/UDecoder.java,100,5
xwork-core/src/main/java/com/opensymphony/xwork2/util/logging/Logger.java,xwork-core/src/main/java/com/opensymphony/xwork2/util/logging/jdk/JdkLogger.java,100,5
plugins/jsf/pom.xml,plugins/pell-multipart/pom.xml,99,65
plugins/config-browser/pom.xml,plugins/pell-multipart/pom.xml,97,66
plugins/jsf/pom.xml,plugins/plexus/pom.xml,96,67
plugins/pell-multipart/pom.xml,plugins/plexus/pom.xml,96,66
plugins/config-browser/pom.xml,plugins/jsf/pom.xml,96,66
plugins/dojo/src/main/resources/org/apache/struts2/static/dojo/struts_dojo.js,plugins/dojo/src/main/resources/org/apache/struts2/static/dojo/struts_dojo.js.uncompressed.js,96,32
xwork-core/src/test/java/com/opensymphony/xwork2/validator/AnnotationValidationAction.java,xwork-core/src/test/java/com/opensymphony/xwork2/validator/AnnotationValidationConfigurationBuilderTest.java,96,17
xwork-core/src/test/java/com/opensymphony/xwork2/validator/AnnotationValidationConfigurationBuilderTest.java,xwork-core/src/test/java/com/opensymphony/xwork2/validator/AnnotationValidationExpAction.java,96,17
core/src/site/resources/tags/ajax/datetimepicker.html,core/src/site/resources/tags/ajax/tree.html,96,13
core/src/site/resources/tags/ajax/datetimepicker.html,core/src/site/resources/tags/ajax/treenode.html,95,12
core/src/main/java/org/apache/struts2/dispatcher/ng/filter/StrutsPrepareAndExecuteFilter.java,core/src/main/java/org/apache/struts2/dispatcher/ng/filter/StrutsPrepareFilter.java,95,11
plugins/config-browser/pom.xml,plugins/plexus/pom.xml,94,68
core/src/site/resources/tags/doubleselect.html,core/src/site/resources/tags/optiontransferselect.html,94,18
plugins/pell-multipart/pom.xml,plugins/sitemesh/pom.xml,93,69
core/src/site/resources/tags/select.html,core/src/site/resources/tags/updownselect.html,93,8
plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/SubmitAjaxTest.java,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/submit-ajax-1.txt,93,8
plugins/jsf/pom.xml,plugins/sitemesh/pom.xml,92,69
plugins/pell-multipart/pom.xml,plugins/struts1/pom.xml,92,68
core/src/main/java/org/apache/struts2/util/ComponentUtils.java,core/src/test/java/org/apache/struts2/util/ComponentUtilsTest.java,92,7
plugins/config-browser/src/main/resources/config-browser/actionNames.ftl,plugins/config-browser/src/main/resources/config-browser/showConfig.ftl,92,7
plugins/sitegraph/pom.xml,plugins/struts1/pom.xml,91,75
plugins/codebehind/pom.xml,plugins/sitegraph/pom.xml,91,74
plugins/codebehind/pom.xml,plugins/struts1/pom.xml,91,71
plugins/config-browser/pom.xml,plugins/sitemesh/pom.xml,91,70
plugins/jsf/pom.xml,plugins/struts1/pom.xml,91,69
xwork-core/src/main/java/com/opensymphony/xwork2/validator/AnnotationValidationConfigurationBuilder.java,xwork-core/src/test/java/com/opensymphony/xwork2/validator/AnnotationValidationAction.java,91,18
core/src/site/resources/tags/ajax/a.html,core/src/site/resources/tags/ajax/submit.html,91,18
xwork-core/src/main/java/com/opensymphony/xwork2/validator/AnnotationValidationConfigurationBuilder.java,xwork-core/src/test/java/com/opensymphony/xwork2/validator/AnnotationValidationExpAction.java,91,18
core/src/site/resources/tags/ajax/tree.html,core/src/site/resources/tags/ajax/treenode.html,91,12
plugins/plexus/pom.xml,plugins/sitemesh/pom.xml,90,71
plugins/jasperreports/pom.xml,plugins/jsf/pom.xml,90,71
plugins/jfreechart/pom.xml,plugins/jsf/pom.xml,90,71
plugins/jasperreports/pom.xml,plugins/pell-multipart/pom.xml,90,71
plugins/jfreechart/pom.xml,plugins/pell-multipart/pom.xml,90,71
plugins/config-browser/pom.xml,plugins/struts1/pom.xml,90,70
plugins/plexus/pom.xml,plugins/struts1/pom.xml,90,70
plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/DivTest.java,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/div-1.txt,90,6
plugins/dojo/src/main/resources/org/apache/struts2/static/dojo/struts/widget/StrutsDatePicker.js,plugins/dojo/src/main/resources/org/apache/struts2/static/dojo/struts/widget/StrutsTimePicker.js,90,6
plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/div-1.txt,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/href-1.txt,90,6
plugins/dojo/src/main/java/org/apache/struts2/dojo/views/jsp/ui/SubmitTag.java,plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/AnchorTest.java,90,6
plugins/dojo/src/main/java/org/apache/struts2/dojo/views/jsp/ui/AutocompleterTag.java,plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/AutocompleterTest.java,90,6
